code,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
BLZ,0,0,0,0,0,0,0.5,0,0,0,0,0
MNE,0,0,0.67,0,0,0,3.5,0,0,0,0,0
SOM,0,0,0,0.5,0,0,0,0,0,0,0,0
NLD,0,1,1,1,1,1.29,0.78,2.2,0,0,0,0
UKR,0,0,0,1,1,0.27,4,1,0,0,0,0
VEN,0,0,0.67,0,0,0.8,0.33,0.5,1,0,0,0
ZAF,0,0,0,0,0.5,0,0,0,0,0,0,0
USA,1,0.33,2,0.86,1,1,0.92,1.8,0.83,5,0,0
GIN,0,0,0.5,0,1,0,0,0,0,0,0,0
LKA,0,0,0,0,0,0.5,0,0,0,0,0,0
FIN,1,1,0.5,1,1,0,0,0,0,0,0,0
LBN,0,0,0,0,0.5,0,0,0,1,0,0,0
GRC,0,0.5,0.5,0.5,1,0,0,0,0,0,0,0
JPN,0,0,0.5,1,0.5,2,0.67,0,0,0,0,0
KEN,0,0.5,0.5,1.5,0.67,1.2,1,1,0,0,0,0
BGD,0,0.5,1,0.5,0,0.8,1,0,0,0,0,0
SLE,0,0,0.5,0,0,0,0,0,0,0,0,0
IDN,0,0,0,0,0,0,1,0,0,0,0,0
TUR,0,0,1,1,0.67,0.67,0,0,0,0,0,0
MLT,0,0,0,0,0,0,0,0.33,2,0,0,0
URY,0,0,0,0,1,0.67,0.33,0.67,0,0,0,0
HUN,0,0,1,0.5,1,1,0.5,0,0,0,0,0
BIH,0,0,1,0.67,1,0,0,0,0,0,0,0
ISL,0,0.5,1,0,0,0,0,0,0,0,0,0
MYS,0,0,0,0,0,0,0,0.5,0,0,0,0
MWI,0,0,1,1,0,0,0,0,0,0,0,0
IND,0.5,1,0.33,0.5,0.5,3.5,4,1.5,0.5,0,0,0
GBR,1,1.12,0.94,1.08,0.96,1.04,0.97,0.9,1,1.17,0,0
OSA,0,0,0,0,0,0,0.25,0,0,0,0,0
TUN,0,0,0.5,0,0,0,0,0,0,0,0,0
CUB,0,0,0,0,0,0,0.5,0,0,0,0,0
ZMB,0,0,0,0,0,0.5,0,0,0,0,0,0
KAZ,0,0,0,0,0,0.5,0,0,0,0,0,0
NOR,0,0.5,0.67,0.67,1,1,1.29,0.78,0,0,0,0
CHE,0,1,0.67,0.5,0.67,1.29,0.33,1,1,0,0,0
SWE,1,0.5,0.67,1,1,2.2,1.29,1.29,0,0,0,0
MEX,0,0,1,0,0,1,0,0,0,0,0,0
AND,0,0,1,0,0,0,0,0,0,0,0,0
LVA,0,0,0.5,1,0.5,2,0.6,0.33,0,0,0,0
HKG,0,0,0.5,0,1,1,1,0,0,0,0,0
LSO,0,0,0,0,0,0.5,0,0,0,0,0,0
IRL,0,0,1,0,0.67,1,0.78,2.2,0,0,0,0
KOR,0,0,0,0,0,1,0,1,0,0,0,0
HRV,0,0,0.67,1,0,0,0,0,0,0,0,0
MLI,0,0,1,0,0,0,0,0.67,0,0,0,0
CZE,0,1,0.67,0.5,0.5,1,2.75,1.4,1,0,0,0
IRN,0,0,0,1,0,0,0,0,0,0,0,0
BEN,0,0,0,0,0,0,0.5,0,0,0,0,0
LIE,0,0.5,0,0,0,0,0,0,0,0,0,0
ESP,0,0.67,1,1,1,0.6,1.67,0.6,0,0,0,0
COL,0,0,0,0,0,0,0,1,0,0,0,0
SGP,0,0,0,0,0,0,0.5,0,0,0,0,0.5
MAR,0,0,0,0.5,0,0,0,0,0,0,0,0
PAK,0.33,0,0.67,0.5,0.5,1.5,0.75,3,0,0,0,0
ETH,0,0,0,0,0,0.5,0,0,0,0,0,0
GHA,0,0,0,0,1,0,0.5,1,0,0,0,0
AUS,0,0,0.5,0,0,1,0.5,0.5,0.5,0,0,0
PSE,0,0,0,0,0,0.5,0,0,0,0,0,0
RUS,0,0,2,0.5,1,0.6,0.45,0.5,1,0,0,0
DEU,0.5,0.5,1,1,0.67,0.45,0,2,0,0,0,0
PER,0,1,0.33,1,0.5,0.75,0.4,1.5,0,0,0,0
SAU,0,0,1,0,0,1,0,0.5,0,0,0,0
LBY,0,0,0,0,0.5,0,0,0,0,0,0,0
BGR,0,0,1,0.5,0.5,0,0,0,0,0,0,0
PLW,0,0,0,0,0,1,0,0,0,0,0,0
MKD,0,0,0,0,0,1.67,0.33,0,0,0,0,0
SRB,0,0,0,1,1,0,1.8,0,0,0,0,0
ITA,0.67,0.67,0.67,0.5,1,0.67,1.4,0.5,1,0,0,0
COM,0,0,0,0,0,0,1,0,0,0,0,0
